"rho","sigma_gamma","sigma_fit","h2_shenhar","bias","sigma_infl_pct","obs_r_mz","obs_r_dz","sigma_true_sq","sigma_fit_sq","absorbed_var","gamma_var_term","cross_term","predicted_absorbed","residual_var","residual_pct"
0,0.15,1.28385993766671,0.514580929287784,0.00507742773754583,1.9917004450432,0.202982147361979,0.101136804126997,1.58454883703761,1.64829633954556,0.0637475025079495,0.0225,0,0.0225,0.0412475025079495,2.60310705128304
0.1,0.15,1.26081662590188,0.490007501109312,-0.0194960004409256,0.161106248723897,0.201720994393114,0.104399607668948,1.58454883703761,1.58965856415061,0.00510972711300073,0.0225,0.0377636591623991,0.0602636591623991,-0.0551539320493984,-3.48073412192907
0.2,0.15,1.26744211185464,0.50558570838316,-0.0039177931670773,0.687444487631983,0.207634562235618,0.107849001607558,1.58454883703761,1.60640950690255,0.0218606698649344,0.0225,0.0755273183247982,0.0980273183247982,-0.0761666484598638,-4.80683502329035
0.3,0.15,1.31834061504139,0.498063375902922,-0.0114401256473157,4.73089559769553,0.210624013933686,0.102616811923881,1.58454883703761,1.73802197726772,0.153473140230107,0.0225,0.113290977487197,0.135790977487197,0.0176821627429097,1.11591150298449
0.4,0.15,1.38457423158071,0.509833812664776,0.000330311114538406,9.99259041290048,0.22097609568968,0.110068143293087,1.58454883703761,1.91704580275732,0.332496965719713,0.0225,0.151054636649596,0.173554636649596,0.158942329070117,10.030762407252
0.5,0.15,1.35646753092959,0.531131967841372,0.0216284662911341,7.75975324024296,0.216120649097794,0.109799540011572,1.58454883703761,1.84000416246622,0.255455325428606,0.0225,0.188818295811996,0.211318295811996,0.0441370296166101,2.78546350765221
0.6,0.15,1.35903137989377,0.509899596136767,0.000396094586528783,7.96342913032211,0.224389626750435,0.098843022296628,1.58454883703761,1.84696629153597,0.262417454498358,0.0225,0.226581954974395,0.249081954974395,0.0133354995239638,0.841595993273084
0.7,0.15,1.40539709158945,0.54439495112272,0.0348914495724817,11.6467886927223,0.231919680454015,0.109845768137693,1.58454883703761,1.97514098504809,0.390592148010481,0.0225,0.264345614136794,0.286845614136794,0.103746533873687,6.54738632528654
0.8,0.15,1.35251419339571,0.531069527977986,0.0215660264277479,7.4456943575848,0.220815368344007,0.122382592968312,1.58454883703761,1.82929464333686,0.244745806299247,0.0225,0.302109273299193,0.324609273299193,-0.0798634669999458,-5.04013919503133
0,0.2,1.28142724388096,0.50180622467581,-0.00769727687442834,1.79844371306541,0.200083553678908,0.0993978473211083,1.58454883703761,1.64205578136035,0.0575069443227356,0.04,0,0.04,0.0175069443227356,1.10485356547708
0.1,0.2,1.29776426957655,0.486604296262537,-0.0228992052877011,3.09628079172382,0.210917425088208,0.0934611008162182,1.58454883703761,1.68419209938956,0.099643262351947,0.04,0.0503515455498655,0.0903515455498655,0.00929171680208149,0.586395104075984
0.2,0.2,1.33800516528949,0.518871104944816,0.00936760339457798,6.29307606571103,0.217557926380509,0.103214989766769,1.58454883703761,1.79025782234136,0.205708985303748,0.04,0.100703091099731,0.140703091099731,0.0650058942040167,4.10248600008746
0.3,0.2,1.28256148990587,0.505426184920956,-0.00407731662928157,1.88854986671185,0.205935953287963,0.116407290753242,1.58454883703761,1.64496397538957,0.0604151383519547,0.04,0.151054636649596,0.191054636649596,-0.130639498297642,-8.24458642384784
0.4,0.2,1.36858838934878,0.539418964949801,0.029915463399563,8.72265185928858,0.223485846722835,0.11168734921778,1.58454883703761,1.8730341794603,0.288485342422687,0.04,0.201406182199462,0.241406182199462,0.047079160223225,2.97113974165932
0.5,0.2,1.41791362828941,0.556065309047136,0.0465618074968981,12.6411205697895,0.224686198403167,0.109746585273066,1.58454883703761,2.01047905728884,0.425930220251231,0.04,0.251757727749327,0.291757727749327,0.134172492501904,8.46755173243795
0.6,0.2,1.38528068539055,0.531968535621406,0.0224650340711683,10.0487121308831,0.226150857659867,0.11365548658472,1.58454883703761,1.91900257731611,0.334453740278497,0.04,0.302109273299193,0.342109273299193,-0.00765553302069599,-0.483136451320009
0.7,0.2,1.40230178740842,0.543041663222824,0.0335381616725857,11.4008932273711,0.226171563916101,0.115073319829517,1.58454883703761,1.96645030296885,0.381901465931235,0.04,0.352460818849058,0.392460818849058,-0.0105593529178232,-0.666394917657721
0.8,0.2,1.47933376247046,0.576924601656772,0.0674211001065345,17.5204253466588,0.244553652548416,0.129491309435283,1.58454883703761,2.18842838078502,0.603879543747408,0.04,0.402812364398924,0.442812364398924,0.161067179348484,10.1648605321378
0,0.25,1.34598601003425,0.532466406720681,0.0229629051704433,6.92708597802703,0.209752028066992,0.0998853493884821,1.58454883703761,1.81167833920793,0.227129502170315,0.0625,0,0.0625,0.164629502170315,10.3896767535482
0.1,0.25,1.29943701850269,0.49911672913598,-0.0103867724142579,3.2291663989378,0.207948162141056,0.102000201225167,1.58454883703761,1.68853656505516,0.103987728017549,0.0625,0.0629394319373319,0.125439431937332,-0.0214517039197833,-1.35380516007877
0.2,0.25,1.32322582130362,0.516401312362788,0.00689781081255003,5.11898348726283,0.208755231376397,0.106052445023248,1.58454883703761,1.75092657416463,0.166377737127023,0.0625,0.125878863874664,0.188378863874664,-0.022001126747641,-1.38847893061934
0.3,0.25,1.39122365095873,0.547855324246952,0.0383518226967142,10.5208299579157,0.226357832741765,0.120808921043147,1.58454883703761,1.93550324698694,0.350954409949332,0.0625,0.188818295811996,0.251318295811995,0.0996361141373368,6.28798001099235
0.4,0.25,1.40106110018153,0.541911955864071,0.0324084543138335,11.3023312298521,0.233266647055905,0.115013331756963,1.58454883703761,1.96297220644187,0.378423369404262,0.0625,0.251757727749327,0.314257727749327,0.0641656416549346,4.04945812682525
0.5,0.25,1.44564796068882,0.559452165859247,0.0499486643090087,14.8443762670302,0.232258746567524,0.118491279465852,1.58454883703761,2.08989802624373,0.505349189206121,0.0625,0.314697159686659,0.377197159686659,0.128152029519461,8.08760364616137
0.6,0.25,1.47231864302589,0.54753624359703,0.0380327420467923,16.963134056553,0.2468653529396,0.117785292388386,1.58454883703761,2.16772218660159,0.583173349563979,0.0625,0.377636591623991,0.440136591623991,0.143036757939988,9.02697061754195
