"Control","bias","bias_pp"
"Arm 2 reference",0.0764861973958207,7.64861973958207
"Pleiotropy isolation (rho=0)",0.0189246119543091,1.89246119543091
"Irrelevant trait (zeta)",-0.00734423068241918,-0.734423068241918
"Vanishing m_ex (ctrl B)",-0.0090933999129259,-0.90933999129259
