"rho","sigma_gamma","sigma_fit","h2_shenhar","bias","sigma_infl_pct","obs_r_mz","obs_r_dz"
0.2,0.3,1.37967195532851,0.55676961383006,0.0472661122798221,9.60314645850586,0.222859556582017,0.104723026872411
0.25,0.3,1.39203170225441,0.549797839715026,0.0402943381647882,10.5850227279175,0.223071677236479,0.117540182479303
0.3,0.3,1.50246380171924,0.583462533477818,0.0739590319275798,19.3579093004227,0.242269274995857,0.102538086891965
0.35,0.3,1.41066088176229,0.547784075431317,0.0382805738810787,12.0649518386877,0.225940220997758,0.106778902432986
0.4,0.3,1.41220941345184,0.552948898988354,0.0434453974381165,12.1879694479896,0.236415303525706,0.124280082167878
0.45,0.3,1.50802594109103,0.581001804127831,0.071498302577593,19.7997737406145,0.244061426009682,0.122811574548316
0.5,0.3,1.44778935120817,0.570872182493112,0.0613686809428741,15.0144914439107,0.235451695859464,0.118385233300471
0.2,0.35,1.45462532056436,0.569822371200197,0.0603188696499589,15.5575507904738,0.234189456058507,0.114892742993844
0.25,0.35,1.44271945994183,0.55304849445564,0.0435449929054024,14.6117319090465,0.238875870308002,0.113384326267198
0.3,0.35,1.44599968415599,0.568001428300248,0.05849792675001,14.872317690741,0.234412557924259,0.114662770942094
0.35,0.35,1.48177246817368,0.569890353682921,0.0603868521326834,17.7141596741027,0.243817526859267,0.115006566432088
0.4,0.35,1.50223645582503,0.599491567962484,0.0899880664122461,19.339848611979,0.238601523102064,0.122380082863211
0.45,0.35,1.53879761732633,0.581359083838683,0.0718555822884448,22.2443204491023,0.251841671398506,0.126039467852743
0.5,0.35,1.53275189887827,0.581988936520442,0.0724854349702047,21.7640397838686,0.257739685506245,0.125873771268527
0.2,0.4,1.44911050624692,0.561113303178,0.0516098016277619,15.1194459214205,0.230741709512031,0.118613232091747
0.25,0.4,1.45267516660703,0.537044869821038,0.0275413682708003,15.4026277241779,0.234138187901882,0.111003198131464
0.3,0.4,1.47546049079333,0.579234108121167,0.0697306065709293,17.2127270120928,0.242061916540254,0.125492760208182
0.35,0.4,1.5115730739336,0.570641940123629,0.0611384385733911,20.0815631318899,0.247426575202687,0.1268151785517
0.4,0.4,1.50299688609145,0.584961004917045,0.0754575033668069,19.4002582981662,0.252529148991882,0.12238907259477
0.45,0.4,1.51447727199469,0.574162214701701,0.0646587131514631,20.3122768491649,0.258723096604676,0.120587786650793
0.5,0.4,1.56349460909848,0.606452093456013,0.0969485919057752,24.2062853899945,0.266008351228548,0.127418775694304
0.2,0.45,1.49105898158903,0.578126772889442,0.0686232713392042,18.4518938043212,0.245814846856197,0.130590555262978
0.25,0.45,1.51902699355753,0.594325241862537,0.0848217403122994,20.6737133463495,0.247808152904386,0.116712005670465
0.3,0.45,1.56789456953314,0.599196854819649,0.0896933532694115,24.5558246453732,0.259483117140155,0.128159445400534
0.35,0.45,1.58599204901041,0.618298527615487,0.108795026065249,25.9935147325107,0.256991182034402,0.128295001727402
0.4,0.45,1.66011286181955,0.632655000895897,0.123151499345659,31.8817798889975,0.265379748234144,0.131508874490473
0.45,0.45,1.60622795159276,0.606943915977768,0.0974404144275303,27.6010842608227,0.271017062563527,0.129843003703352
0.5,0.45,1.6123659513973,0.63263070284014,0.123127201289903,28.0886958912115,0.272245662898318,0.149287799638853
0.2,0.5,1.53482938720305,0.59575044803967,0.0862469464894317,21.9290784774848,0.250428678838723,0.114295921976966
