"rho","sigma_gamma","sigma_fit","h2_shenhar","bias","sigma_infl_pct","obs_r_mz","obs_r_dz"
0,0.15,1.28385993766671,0.514580929287784,0.00507742773754583,1.9917004450432,0.202982147361979,0.101136804126997
0.1,0.15,1.26081662590188,0.490007501109312,-0.0194960004409256,0.161106248723897,0.201720994393114,0.104399607668948
0.2,0.15,1.26744211185464,0.50558570838316,-0.0039177931670773,0.687444487631983,0.207634562235618,0.107849001607558
0.3,0.15,1.31834061504139,0.498063375902922,-0.0114401256473157,4.73089559769553,0.210624013933686,0.102616811923881
0.4,0.15,1.38457423158071,0.509833812664776,0.000330311114538406,9.99259041290048,0.22097609568968,0.110068143293087
0.5,0.15,1.35646753092959,0.531131967841372,0.0216284662911341,7.75975324024296,0.216120649097794,0.109799540011572
0.6,0.15,1.35903137989377,0.509899596136767,0.000396094586528783,7.96342913032211,0.224389626750435,0.098843022296628
0.7,0.15,1.40539709158945,0.54439495112272,0.0348914495724817,11.6467886927223,0.231919680454015,0.109845768137693
0.8,0.15,1.35251419339571,0.531069527977986,0.0215660264277479,7.4456943575848,0.220815368344007,0.122382592968312
0,0.2,1.28142724388096,0.50180622467581,-0.00769727687442834,1.79844371306541,0.200083553678908,0.0993978473211083
0.1,0.2,1.29776426957655,0.486604296262537,-0.0228992052877011,3.09628079172382,0.210917425088208,0.0934611008162182
0.2,0.2,1.33800516528949,0.518871104944816,0.00936760339457798,6.29307606571103,0.217557926380509,0.103214989766769
0.3,0.2,1.28256148990587,0.505426184920956,-0.00407731662928157,1.88854986671185,0.205935953287963,0.116407290753242
0.4,0.2,1.36858838934878,0.539418964949801,0.029915463399563,8.72265185928858,0.223485846722835,0.11168734921778
0.5,0.2,1.41791362828941,0.556065309047136,0.0465618074968981,12.6411205697895,0.224686198403167,0.109746585273066
0.6,0.2,1.38528068539055,0.531968535621406,0.0224650340711683,10.0487121308831,0.226150857659867,0.11365548658472
0.7,0.2,1.40230178740842,0.543041663222824,0.0335381616725857,11.4008932273711,0.226171563916101,0.115073319829517
0.8,0.2,1.47933376247046,0.576924601656772,0.0674211001065345,17.5204253466588,0.244553652548416,0.129491309435283
0,0.25,1.34598601003425,0.532466406720681,0.0229629051704433,6.92708597802703,0.209752028066992,0.0998853493884821
0.1,0.25,1.29943701850269,0.49911672913598,-0.0103867724142579,3.2291663989378,0.207948162141056,0.102000201225167
0.2,0.25,1.32322582130362,0.516401312362788,0.00689781081255003,5.11898348726283,0.208755231376397,0.106052445023248
0.3,0.25,1.39122365095873,0.547855324246952,0.0383518226967142,10.5208299579157,0.226357832741765,0.120808921043147
0.4,0.25,1.40106110018153,0.541911955864071,0.0324084543138335,11.3023312298521,0.233266647055905,0.115013331756963
0.5,0.25,1.44564796068882,0.559452165859247,0.0499486643090087,14.8443762670302,0.232258746567524,0.118491279465852
0.6,0.25,1.47231864302589,0.54753624359703,0.0380327420467923,16.963134056553,0.2468653529396,0.117785292388386
0.7,0.25,1.47989337736416,0.590360445802167,0.0808569442519288,17.564881967609,0.243797201641106,0.113406994325353
0.8,0.25,1.60621153687657,0.613648521527125,0.104145019976888,27.599780251898,0.26287455671015,0.115953376916342
0,0.3,1.34448840486114,0.523563991087348,0.0140604895371101,6.80811404524821,0.210857672089628,0.102643859397681
0.1,0.3,1.36826143986904,0.510311253043281,0.000807751493043574,8.69667851716607,0.225195215386192,0.106155943919278
0.2,0.3,1.37967195532851,0.55676961383006,0.0472661122798221,9.60314645850586,0.222859556582017,0.104723026872411
0.3,0.3,1.50246380171924,0.583462533477818,0.0739590319275798,19.3579093004227,0.242269274995857,0.102538086891965
0.4,0.3,1.41220941345184,0.552948898988354,0.0434453974381165,12.1879694479896,0.236415303525706,0.124280082167878
0.5,0.3,1.44778935120817,0.570872182493112,0.0613686809428741,15.0144914439107,0.235451695859464,0.118385233300471
0.6,0.3,1.52500375159749,0.581244882894252,0.071741381344014,21.1485156964812,0.256828698303016,0.126231437379979
0.7,0.3,1.57784343391644,0.607091528349733,0.0975880267994954,25.3461768996803,0.25836078011898,0.127151322993246
0.8,0.3,1.57561872006012,0.606685670024542,0.0971821684743045,25.1694423957426,0.260048885999751,0.128506184750496
0,0.35,1.33574383057581,0.534577275685057,0.0250737741348196,6.1134323476095,0.211582102460624,0.105251570267021
0.1,0.35,1.38578821393524,0.536553059354337,0.0270495578040992,10.0890309365247,0.228104766507538,0.109097345720536
0.2,0.35,1.45462532056436,0.569822371200197,0.0603188696499589,15.5575507904738,0.234189456058507,0.114892742993844
0.3,0.35,1.44599968415599,0.568001428300248,0.05849792675001,14.872317690741,0.234412557924259,0.114662770942094
0.4,0.35,1.50223645582503,0.599491567962484,0.0899880664122461,19.339848611979,0.238601523102064,0.122380082863211
0.5,0.35,1.53275189887827,0.581988936520442,0.0724854349702047,21.7640397838686,0.257739685506245,0.125873771268527
0.6,0.35,1.56413373380223,0.605439467964213,0.0959359664139754,24.25705838588,0.262893670615455,0.121846828902158
0.7,0.35,1.59672534472086,0.608196446543532,0.0986929449932941,26.8461833521711,0.259946632278758,0.134024531898646
0.8,0.35,1.64133344230286,0.628915994447148,0.11941249289691,30.3899154934478,0.273783791557541,0.141542085639818
0,0.4,1.37534018389104,0.526773285297635,0.0172697837473974,9.25902423622576,0.225973711749225,0.104973938267156
0.1,0.4,1.40861533550797,0.554198544788067,0.0446950432378287,11.9024506695988,0.231742546939187,0.104622720152568
0.2,0.4,1.44911050624692,0.561113303178,0.0516098016277619,15.1194459214205,0.230741709512031,0.118613232091747
0.3,0.4,1.47546049079333,0.579234108121167,0.0697306065709293,17.2127270120928,0.242061916540254,0.125492760208182
0.4,0.4,1.50299688609145,0.584961004917045,0.0754575033668069,19.4002582981662,0.252529148991882,0.12238907259477
0.5,0.4,1.56349460909848,0.606452093456013,0.0969485919057752,24.2062853899945,0.266008351228548,0.127418775694304
0.6,0.4,1.55966655917777,0.594923204188791,0.085419702638553,23.9021795375208,0.265848375391492,0.119457242390905
0.7,0.4,1.67871400200839,0.63289401812858,0.123390516578342,33.3594815154882,0.280840479364607,0.148263984918901
0.8,0.4,1.73053084200351,0.648365118424595,0.138861616874357,37.4758866370597,0.290269896414997,0.14529922597959
0,0.45,1.3807673977538,0.545388412896679,0.0358849113464411,9.69016999777019,0.227848106530048,0.113118514659258
0.1,0.45,1.3866022484023,0.539164761495385,0.0296612599451471,10.1536990183615,0.231171173220035,0.10097469190466
0.2,0.45,1.49105898158903,0.578126772889442,0.0686232713392042,18.4518938043212,0.245814846856197,0.130590555262978
0.3,0.45,1.56789456953314,0.599196854819649,0.0896933532694115,24.5558246453732,0.259483117140155,0.128159445400534
0.4,0.45,1.66011286181955,0.632655000895897,0.123151499345659,31.8817798889975,0.265379748234144,0.131508874490473
0.5,0.45,1.6123659513973,0.63263070284014,0.123127201289903,28.0886958912115,0.272245662898318,0.149287799638853
0.6,0.45,1.664308263527,0.641043309774543,0.131539808224305,32.2150687016155,0.274078427648008,0.13762274862607
