"arm","transform","model_type","a2","c2","e2","h2_ace","h2_falconer","r_mz","r_dz","converged","minus2ll"
"oracle","none","ACE",0.493187097298798,2.28391992695627e-11,0.506812902678363,0.493187097298798,0.502008866059784,0.493515906441593,0.2425114734117,TRUE,1741196.90297639
"oracle","log","ACE",0.429608313822627,5.32269182469855e-13,0.57039168617684,0.429608313822627,0.502008866059784,0.493515906441593,0.2425114734117,TRUE,60978.7917861677
"oracle","rank","ACE",0.508492795917546,0,0.491507204082454,0.508492795917546,0.502008866059784,0.493515906441593,0.2425114734117,TRUE,543300.981280961
"arm1_null","none","ACE",0.181507316306452,0.0111255426608997,0.807367141032648,0.181507316306452,0.182928833659515,0.193085967293733,0.101621550463976,TRUE,1624524.83397183
"arm1_null","log","ACE",0.119567390087358,0.00127448316731484,0.879158126745328,0.119567390087358,0.182928833659515,0.193085967293733,0.101621550463976,TRUE,198161.58064796
"arm1_null","rank","ACE",0.204695490480818,0.0130229472091959,0.782281562309986,0.204695490480818,0.182928833659515,0.193085967293733,0.101621550463976,TRUE,495553.292566339
"arm2_true_dgp","none","ACE",0.253210370984433,1.15638088174323e-12,0.74678962901441,0.253210370984433,0.261989102622626,0.254403482781122,0.123408931469809,TRUE,1630125.10305089
"arm2_true_dgp","log","ACE",0.170174589571651,0,0.829825410428349,0.170174589571651,0.261989102622626,0.254403482781122,0.123408931469809,TRUE,199319.855727891
"arm2_true_dgp","rank","ACE",0.281126827732001,0,0.718873172267999,0.281126827732001,0.261989102622626,0.254403482781122,0.123408931469809,TRUE,494603.033764758
"arm2_misspec_fit","none","ACE",0.255195651073421,0,0.744804348926578,0.255195651073421,0.260134947208387,0.255842140851731,0.125774667247537,TRUE,1637445.5416605
"arm2_misspec_fit","log","ACE",0.171033560792244,5.79570106219182e-11,0.828966439149799,0.171033560792244,0.260134947208387,0.255842140851731,0.125774667247537,TRUE,210773.350797259
"arm2_misspec_fit","rank","ACE",0.267430022286552,4.51079081489675e-10,0.732569977262369,0.267430022286552,0.260134947208387,0.255842140851731,0.125774667247537,TRUE,492101.954498796
"recovery","none","ACE",0.227152388538478,0.0142011447542578,0.758646466707264,0.227152388538478,0.228426065986422,0.241757321124416,0.127544288131205,TRUE,1626263.16180414
"recovery","log","ACE",0.156765676473808,0.0080833576805284,0.835150965845663,0.156765676473808,0.228426065986422,0.241757321124416,0.127544288131205,TRUE,197262.937299767
"recovery","rank","ACE",0.256453665349265,0.0139099724401419,0.729636362210593,0.256453665349265,0.228426065986422,0.241757321124416,0.127544288131205,TRUE,494606.580047175
"oracle","none","AE",0.493187236310391,NA,0.506812763689609,0.493187236310391,0.502008866059784,NA,NA,TRUE,1741196.90297638
"oracle","log","AE",0.429608304080035,NA,0.570391695919965,0.429608304080035,0.502008866059784,NA,NA,TRUE,60978.7917861674
"oracle","rank","AE",0.508492633555593,NA,0.491507366444407,0.508492633555593,0.502008866059784,NA,NA,TRUE,543300.981280958
"arm1_null","none","AE",0.194691315231652,NA,0.805308684768348,0.194691315231652,0.182928833659515,NA,NA,TRUE,1624525.97123461
"arm1_null","log","AE",0.121085426907538,NA,0.878914573092462,0.121085426907538,0.182928833659515,NA,NA,TRUE,198161.595081343
"arm1_null","rank","AE",0.220085871580488,NA,0.779914128419512,0.220085871580488,0.182928833659515,NA,NA,TRUE,495554.872311106
"arm2_true_dgp","none","AE",0.253210407258135,NA,0.746789592741865,0.253210407258135,0.261989102622626,NA,NA,TRUE,1630125.10305089
"arm2_true_dgp","log","AE",0.170174553666205,NA,0.829825446333795,0.170174553666205,0.261989102622626,NA,NA,TRUE,199319.855727891
"arm2_true_dgp","rank","AE",0.281127374827315,NA,0.718872625172685,0.281127374827315,0.261989102622626,NA,NA,TRUE,494603.033764777
"arm2_misspec_fit","none","AE",0.255195511748721,NA,0.744804488251279,0.255195511748721,0.260134947208387,NA,NA,TRUE,1637445.5416605
"arm2_misspec_fit","log","AE",0.171033319285075,NA,0.828966680714925,0.171033319285075,0.260134947208387,NA,NA,TRUE,210773.35079725
"arm2_misspec_fit","rank","AE",0.267430781486342,NA,0.732569218513658,0.267430781486342,0.260134947208387,NA,NA,TRUE,492101.954498463
"recovery","none","AE",0.24387306478843,NA,0.75612693521157,0.24387306478843,0.228426065986422,NA,NA,TRUE,1626265.06573687
"recovery","log","AE",0.166394618226205,NA,0.833605381773796,0.166394618226205,0.228426065986422,NA,NA,TRUE,197263.534266562
"recovery","rank","AE",0.272748476663298,NA,0.727251523336702,0.272748476663298,0.228426065986422,NA,NA,TRUE,494608.435813253
