"model","sweep_type","sweep_val","oracle_h2","extrap_h2","bias","bias_pp","se_pp","lo95_pp","hi95_pp"
"mgg","negative_rho",-0.6,0.491505852411818,0.428899302738576,-0.0626065496732422,-6.26065496732422,0.413339856858536,-7.12578523037482,-5.39552470427362
"mgg","negative_rho",-0.55,0.491505852411818,0.447683430184978,-0.0438224222268407,-4.38224222268407,0.386853816837125,-5.19193656686384,-3.5725478785043
"mgg","negative_rho",-0.5,0.491505852411818,0.452659814814029,-0.038846037597789,-3.8846037597789,0.419981946175821,-4.76363607554211,-3.00557144401569
"mgg","negative_rho",-0.45,0.491505852411818,0.456905722974437,-0.0346001294373815,-3.46001294373815,0.364741092505004,-4.22342482398229,-2.69660106349401
"mgg","negative_rho",-0.4,0.491505852411818,0.463763763061423,-0.0277420893503952,-2.77420893503952,0.314414229609391,-3.43228548066023,-2.11613238941881
"mgg","negative_rho",-0.35,0.491505852411818,0.473469614770245,-0.0180362376415735,-1.80362376415735,0.224626871521733,-2.27377320951882,-1.33347431879588
"mgg","negative_rho",-0.3,0.491505852411818,0.475358761094076,-0.0161470913177421,-1.61470913177421,0.393967786258578,-2.4392931850754,-0.790125078473012
"mgg","negative_rho",-0.25,0.491505852411818,0.481171117522186,-0.010334734889632,-1.0334734889632,0.308016666373588,-1.67815978084178,-0.388787197084623
"mgg","negative_rho",-0.2,0.491505852411818,0.488897774366921,-0.00260807804489741,-0.260807804489741,0.364400121316645,-1.02350602383478,0.501890414855303
"mgg","negative_rho",-0.15,0.491505852411818,0.487219129762164,-0.00428672264965391,-0.428672264965391,0.330097621774314,-1.11957452764201,0.262229997711224
"mgg","negative_rho",-0.1,0.491505852411818,0.493796533461023,0.00229068104920478,0.229068104920478,0.336283429649989,-0.474781202435874,0.932917412276829
"mgg","negative_rho",-0.0499999999999999,0.491505852411818,0.504846150396483,0.0133402979846647,1.33402979846647,0.590117821242224,0.0988990036714772,2.56916059326147
"mgg","negative_rho",1.11022302462516e-16,0.491505852411818,0.51146035071658,0.0199544983047614,1.99544983047614,0.644882334150663,0.645695592835821,3.34520406811645
"mgg","negative_rho",0.05,0.491505852411818,0.523385300405809,0.0318794479939907,3.18794479939907,0.698365014465716,1.72625002536512,4.64963957343302
"mgg","negative_rho",0.1,0.491505852411818,0.545054396891827,0.0535485444800088,5.35485444800088,0.656933546048172,3.9798767339743,6.72983216202745
"mgg","negative_rho",0.15,0.491505852411818,0.554136211160336,0.0626303587485174,6.26303587485174,0.357848412309145,5.51405054005687,7.0120212096466
"mgg","negative_rho",0.2,0.491505852411818,0.556321112378346,0.0648152599665277,6.48152599665277,0.376117229910368,5.69430358717295,7.2687484061326
"mgg","negative_rho",0.25,0.491505852411818,0.561764119597629,0.0702582671858107,7.02582671858107,0.349693775851957,6.29390923404606,7.75774420311609
"mgg","negative_rho",0.3,0.491505852411818,0.566131642938368,0.0746257905265494,7.46257905265494,0.372485184834606,6.68295860088538,8.24219950442449
"mgg","negative_rho",0.35,0.491505852411818,0.571556006976203,0.0800501545643848,8.00501545643848,0.340042904962051,7.29329747682203,8.71673343605493
"mgg","negative_rho",0.4,0.491505852411818,0.567967375536426,0.0764615231246079,7.64615231246079,0.360983557919394,6.8906050424896,8.40169958243198
"mgg","negative_rho",0.45,0.491505852411818,0.580698160479937,0.089192308068119,8.9192308068119,0.41681830564939,8.04682006677002,9.7916415468538
"mgg","negative_rho",0.5,0.491505852411818,0.580842998491613,0.0893371460797946,8.93371460797946,0.304350721690994,8.29670122650369,9.57072798945524
"mgg","negative_rho",0.55,0.491505852411818,0.582088141120416,0.0905822887085975,9.05822887085975,0.378682043680388,8.2656382444642,9.8508194972553
"mgg","negative_rho",0.6,0.491505852411818,0.584382170532647,0.0928763181208288,9.28763181208288,0.396442648896195,8.4578678117498,10.117395812416
"mgg","negative_rho",0.65,0.491505852411818,0.601345601607309,0.109839749195491,10.9839749195491,0.398141014430545,10.1506561992994,11.8172936397987
"mgg","negative_rho",0.7,0.491505852411818,0.607398108756025,0.115892256344207,11.5892256344207,0.534535054739438,10.4704309069266,12.7080203619148
"mgg","negative_rho",0.75,0.491505852411818,0.620116267404936,0.128610414993117,12.8610414993117,0.683028903491348,11.4314455744482,14.2906374241752
"mgg","negative_rho",0.8,0.491505852411818,0.624597888125044,0.133092035713225,13.3092035713225,0.589651025278368,12.0750497917084,14.5433573509367
"sr","negative_rho",-0.6,0.565845392032348,0.542073220736995,-0.0237721712953527,-2.37721712953527,0.441443789089531,-3.30116959876881,-1.45326466030174
"sr","negative_rho",-0.55,0.565845392032348,0.535782906612349,-0.0300624854199994,-3.00624854199994,0.3740686656367,-3.78918325717798,-2.22331382682191
"sr","negative_rho",-0.5,0.565845392032348,0.547731645772055,-0.0181137462602934,-1.81137462602934,0.314374677118131,-2.46936838733443,-1.15338086472424
"sr","negative_rho",-0.45,0.565845392032348,0.55144836380184,-0.0143970282305085,-1.43970282305085,0.374052262520056,-2.22260320611118,-0.656802439990521
"sr","negative_rho",-0.4,0.565845392032348,0.564719332159274,-0.00112605987307454,-0.112605987307454,0.375176777297446,-0.897860006846397,0.67264803223149
"sr","negative_rho",-0.35,0.565845392032348,0.569210657712497,0.0033652656801489,0.33652656801489,0.415851847002053,-0.533861350830531,1.20691448686031
"sr","negative_rho",-0.3,0.565845392032348,0.57609081379946,0.0102454217671122,1.02454217671122,0.387453797295331,0.213592059000252,1.83549229442219
"sr","negative_rho",-0.25,0.565845392032348,0.582129658647031,0.0162842666146831,1.62842666146831,0.370972142269579,0.851973044182695,2.40488027875391
"sr","negative_rho",-0.2,0.565845392032348,0.587474315223131,0.0216289231907832,2.16289231907832,0.349066157191709,1.4322884554962,2.89349618266044
"sr","negative_rho",-0.15,0.565845392032348,0.598516698171423,0.032671306139075,3.2671306139075,0.325688537578105,2.58545667051146,3.94880455730354
"sr","negative_rho",-0.1,0.565845392032348,0.608776890546636,0.0429314985142883,4.29314985142883,0.363024943686072,3.53332991194366,5.052969790914
"sr","negative_rho",-0.0499999999999999,0.565845392032348,0.618042730666616,0.0521973386342675,5.21973386342675,0.424762060225676,4.33069665397438,6.10877107287912
"sr","negative_rho",1.11022302462516e-16,0.565845392032348,0.628783540368562,0.0629381483362139,6.29381483362139,0.43012522094228,5.3935523997815,7.19407726746127
"sr","negative_rho",0.05,0.565845392032348,0.637022662938407,0.0711772709060587,7.11772709060587,0.239887547656706,6.61563668300736,7.61981749820437
"sr","negative_rho",0.1,0.565845392032348,0.638926268613492,0.0730808765811437,7.30808765811437,0.239760480797583,6.80626320450853,7.80991211172022
"sr","negative_rho",0.15,0.565845392032348,0.640598610584599,0.0747532185522513,7.47532185522513,0.448267006248044,6.53708822835037,8.41355548209988
"sr","negative_rho",0.2,0.565845392032348,0.646211047955619,0.0803656559232705,8.03656559232705,0.300261112367986,7.40811186153746,8.66501932311664
"sr","negative_rho",0.25,0.565845392032348,0.652101640416312,0.0862562483839635,8.62562483839635,0.280998703364676,8.03748779299654,9.21376188379617
"sr","negative_rho",0.3,0.565845392032348,0.656089746417654,0.0902443543853059,9.02443543853059,0.298427505433639,8.39981949116091,9.64905138590026
"sr","negative_rho",0.35,0.565845392032348,0.660604065093442,0.094758673061094,9.4758673061094,0.266688399199179,8.91768207155388,10.0340525406649
"sr","negative_rho",0.4,0.565845392032348,0.664797051567458,0.09895165953511,9.895165953511,0.31905586108495,9.22737436156025,10.5629575454618
"sr","negative_rho",0.45,0.565845392032348,0.668936071514367,0.103090679482018,10.3090679482018,0.244740317645273,9.79682057628676,10.8213153201169
"sr","negative_rho",0.5,0.565845392032348,0.676595298631535,0.110749906599187,11.0749906599187,0.321159182490785,10.4027967656713,11.747184554166
"sr","negative_rho",0.55,0.565845392032348,0.687590968908005,0.121745576875657,12.1745576875657,0.283641084520787,11.5808900748452,12.7682253002861
"sr","negative_rho",0.6,0.565845392032348,0.683659560142428,0.11781416811008,11.781416811008,0.326953792381495,11.0970946588735,12.4657389631425
